year,sex,age_group_5yr,income_level,region_code,region_name,district_code,person_years,patient_count,inpatient_episodes,death_within_28days
2024,1,20,0,11,서울특별시,1,4863.29,4865,0,0
2024,1,20,0,26,부산광역시,1,2514.5,2516,0,0
2024,1,20,0,26,부산광역시,3,83.0,83,0,0
2024,1,20,0,27,대구광역시,1,1796.0,1796,0,0
2024,1,20,0,27,대구광역시,3,134.0,134,0,0
2024,1,20,0,28,인천광역시,1,1767.16,1768,0,0
2024,1,20,0,28,인천광역시,3,37.0,37,0,0
2024,1,20,0,29,광주광역시,1,1626.26,1627,1,0
2024,1,20,0,30,대전광역시,1,1157.0,1157,0,0
2024,1,20,0,31,울산광역시,1,258.0,258,0,0
2024,1,20,0,31,울산광역시,3,83.18,84,0,0
2024,1,20,0,36,세종특별자치시,1,85.0,85,0,0
2024,1,20,0,41,경기도,1,2012.11,2015,0,0
2024,1,20,0,41,경기도,2,2311.65,2315,0,0
2024,1,20,0,41,경기도,3,93.0,93,0,0
2024,1,20,0,43,충청북도,1,359.0,359,0,0
2024,1,20,0,43,충청북도,2,223.0,223,0,0
2024,1,20,0,43,충청북도,3,186.26,187,0,0
2024,1,20,0,44,충청남도,1,308.32,309,0,0
2024,1,20,0,44,충청남도,2,428.0,428,0,0
2024,1,20,0,44,충청남도,3,187.0,187,0,0
2024,1,20,0,46,전라남도,2,618.0,618,0,0
2024,1,20,0,46,전라남도,3,486.61,487,0,0
2024,1,20,0,47,경상북도,1,279.0,279,0,0
2024,1,20,0,47,경상북도,2,914.79,915,0,0
2024,1,20,0,47,경상북도,3,220.0,220,0,0
2024,1,20,0,48,경상남도,1,374.0,374,0,0
2024,1,20,0,48,경상남도,2,908.0,908,1,0
2024,1,20,0,48,경상남도,3,237.0,237,0,0
2024,1,20,0,50,제주특별자치도,2,461.36,462,0,0
2024,1,20,0,51,강원특별자치도,2,688.23,689,1,0
2024,1,20,0,51,강원특별자치도,3,182.83,183,0,0
2024,1,20,0,52,전북특별자치도,1,650.45,651,0,0
2024,1,20,0,52,전북특별자치도,2,759.91,760,0,0
2024,1,20,0,52,전북특별자치도,3,248.0,248,0,0
2024,1,20,1,11,서울특별시,1,11878.32,11880,2,0
2024,1,20,1,26,부산광역시,1,5331.75,5332,1,0
2024,1,20,1,26,부산광역시,3,305.0,305,0,0
2024,1,20,1,27,대구광역시,1,4232.0,4232,0,0
2024,1,20,1,27,대구광역시,3,388.15,389,0,0
2024,1,20,1,28,인천광역시,1,4721.32,4722,1,0
2024,1,20,1,28,인천광역시,3,118.0,118,0,0
2024,1,20,1,29,광주광역시,1,3031.28,3032,0,0
2024,1,20,1,30,대전광역시,1,2655.78,2656,1,0
2024,1,20,1,31,울산광역시,1,1149.0,1149,0,0
2024,1,20,1,31,울산광역시,3,305.0,305,0,0
2024,1,20,1,36,세종특별자치시,1,340.0,340,0,0
2024,1,20,1,41,경기도,1,8348.66,8350,3,0
2024,1,20,1,41,경기도,2,9914.15,9916,0,0
2024,1,20,1,41,경기도,3,367.0,367,0,0
2024,1,20,1,43,충청북도,1,1439.25,1440,0,0
2024,1,20,1,43,충청북도,2,663.0,663,2,0
2024,1,20,1,43,충청북도,3,620.34,621,0,0
2024,1,20,1,44,충청남도,1,1171.11,1172,0,0
2024,1,20,1,44,충청남도,2,1727.0,1727,0,0
2024,1,20,1,44,충청남도,3,778.6,779,2,0
2024,1,20,1,46,전라남도,2,2134.9,2136,0,0
2024,1,20,1,46,전라남도,3,1783.05,1784,0,0
2024,1,20,1,47,경상북도,1,763.0,763,0,0
2024,1,20,1,47,경상북도,2,3132.6,3136,0,0
2024,1,20,1,47,경상북도,3,822.0,822,1,0
2024,1,20,1,48,경상남도,1,1502.0,1502,5,0
2024,1,20,1,48,경상남도,2,3451.39,3452,0,0
2024,1,20,1,48,경상남도,3,810.64,811,0,0
2024,1,20,1,50,제주특별자치도,2,1232.0,1232,0,0
2024,1,20,1,51,강원특별자치도,2,2150.23,2152,0,0
2024,1,20,1,51,강원특별자치도,3,591.0,591,0,0
2024,1,20,1,52,전북특별자치도,1,1327.0,1327,2,0
2024,1,20,1,52,전북특별자치도,2,1692.0,1692,0,0
2024,1,20,1,52,전북특별자치도,3,674.0,674,0,0
2024,1,20,2,11,서울특별시,1,11098.15,11099,3,0
2024,1,20,2,26,부산광역시,1,4119.0,4119,0,0
2024,1,20,2,26,부산광역시,3,135.0,135,0,0
2024,1,20,2,27,대구광역시,1,2574.25,2576,0,0
2024,1,20,2,27,대구광역시,3,199.19,200,0,0
2024,1,20,2,28,인천광역시,1,3219.06,3221,0,0
2024,1,20,2,28,인천광역시,3,68.0,68,0,0
2024,1,20,2,29,광주광역시,1,2088.15,2090,0,0
2024,1,20,2,30,대전광역시,1,2555.58,2557,0,0
2024,1,20,2,31,울산광역시,1,751.0,751,0,0
2024,1,20,2,31,울산광역시,3,166.0,166,0,0
2024,1,20,2,36,세종특별자치시,1,249.0,249,0,0
